900,,,792,,,611,,,471,,,380,,,280,,,177,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,,,,,,,,,,,,,,,,,,,,,,0.0262,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2441932,5.087359,0.0482,0.2456061,5.095562,0.0873,0.3295139,3.7745,0.0481,0.1028182,2.137593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0481,0.2443073,5.079155,0.0481,0.2450965,5.095562,0.08719999,0.3330709,3.819621,0.0481,0.1024236,2.129389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0476,0.2415725,5.075053,0.0483,0.2457194,5.087359,0.0871,0.3319745,3.811417,0.048,0.1026045,2.137593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0477,0.2418844,5.070951,0.048,0.2436025,5.075053,0.0863,0.3299873,3.823723,0.0482,0.103032,2.137593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0476,0.2415725,5.075053,0.0478,0.2435679,5.095562,0.0866,0.3300687,3.811417,0.0477,0.1015719,2.129389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2436025,5.075053,0.048,0.244587,5.095562,0.0861,0.3309884,3.844232,0.0475,0.102315,2.154001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2427836,5.079155,0.0478,0.243764,5.099665,0.0861,0.3295757,3.827825,0.0477,0.1021589,2.141695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0482,0.2460015,5.103766,0.0481,0.244702,5.087359,0.0854,0.3282974,3.844232,0.0476,0.1033114,2.170408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2432915,5.079155,0.04789999,0.2442739,5.099665,0.0854,0.3282974,3.844232,0.0473,0.1028543,2.17451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2425875,5.075053,0.0482,0.2444199,5.070951,0.0853,0.3303623,3.872946,0.0475,0.1030944,2.170408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
